id,name,lat,lon
1,Goroka Airport,-6.081689834590001,145.391998291
2,Madang Airport,-5.20707988739,145.789001465
3,Mount Hagen Kagamuga Airport,-5.826789855957031,144.29600524902344
4,Nadzab Airport,-6.569803,146.725977
5,Port Moresby Jacksons International Airport,-9.443380355834961,147.22000122070312
6,Wewak International Airport,-3.58383011818,143.669006348
7,Narsarsuaq Airport,61.1604995728,-45.4259986877
8,Godthaab / Nuuk Airport,64.19090271,-51.6781005859
9,Kangerlussuaq Airport,67.0122218992,-50.7116031647
10,Thule Air Base,76.5311965942,-68.7032012939
11,Akureyri Airport,65.66000366210938,-18.07270050048828
12,Egilsstaðir Airport,65.2833023071289,-14.401399612426758
13,Hornafjörður Airport,64.295601,-15.2272
14,Húsavík Airport,65.952301,-17.426001
15,Ísafjörður Airport,66.05809783935547,-23.135299682617188
16,Keflavik International Airport,63.985000610352,-22.605600357056
17,Patreksfjörður Airport,65.555801,-23.965
18,Reykjavik Airport,64.1299972534,-21.9405994415
19,Siglufjörður Airport,66.133301,-18.9167
20,Vestmannaeyjar Airport,63.42430114746094,-20.278900146484375
21,Sault Ste Marie Airport,46.48500061035156,-84.5093994140625
22,Winnipeg / St. Andrews Airport,50.0564002991,-97.03250122070001
23,Halifax / CFB Shearwater Heliport,44.639702,-63.499401
24,St. Anthony Airport,51.3918991089,-56.083099365200006
25,Tofino / Long Beach Airport,49.079833,-125.775583
26,Kugaaruk Airport,68.534401,-89.808098
27,Baie Comeau Airport,49.13249969482422,-68.20439910888672
28,CFB Bagotville,48.33060073852539,-70.99639892578125
29,Baker Lake Airport,64.29889678960001,-96.077796936
30,Campbell River Airport,49.950801849365234,-125.27100372314453
31,Brandon Municipal Airport,49.91,-99.951897
32,Cambridge Bay Airport,69.1081008911,-105.138000488
33,Nanaimo Airport,49.054970224899996,-123.869862556
34,Castlegar/West Kootenay Regional Airport,49.2963981628,-117.632003784
35,Miramichi Airport,47.007801,-65.449203
36,Charlo Airport,47.990799,-66.330299
37,Kugluktuk Airport,67.816704,-115.143997
38,Coronation Airport,52.0750007629,-111.444999695
39,Chilliwack Airport,49.1528015137,-121.939002991
40,Clyde River Airport,70.4860992432,-68.5167007446
41,Coral Harbour Airport,64.1932983398,-83.3593978882
42,Dawson City Airport,64.04309844970703,-139.1280059814453
43,Burwash Airport,61.37110137939453,-139.04100036621094
44,Princeton Airport,49.4681015015,-120.511001587
45,Deer Lake Airport,49.21080017089844,-57.39139938354492
46,Dease Lake Airport,58.4221992493,-130.031997681
47,Dauphin Barker Airport,51.100799560546875,-100.052001953125
48,Dawson Creek Airport,55.7422981262207,-120.18299865722656
49,Edmonton International Airport,53.309700012200004,-113.580001831
50,Arviat Airport,61.0942001343,-94.07080078119999
51,Estevan Airport,49.2103004456,-102.966003418
52,Edson Airport,53.578899383499994,-116.464996338
53,Eureka Airport,79.9946975708,-85.814201355
54,Inuvik Mike Zubko Airport,68.30419921880001,-133.483001709
55,Iqaluit Airport,63.756402,-68.555801
56,Fredericton Airport,45.868900299072266,-66.53720092773438
57,Forestville Airport,48.74610137939453,-69.09719848632812
58,Flin Flon Airport,54.6781005859375,-101.68199920654297
59,Fort Resolution Airport,61.1808013916,-113.690002441
60,Fort Simpson Airport,61.76020050048828,-121.23699951171875
61,Kingston Norman Rogers Airport,44.22529983520508,-76.5969009399414
62,La Grande Rivière Airport,53.625301361083984,-77.7042007446289
63,Gaspé (Michel-Pouliot) Airport,48.7752990723,-64.4785995483
64,Geraldton Greenstone Regional Airport,49.77830123901367,-86.93939971923828
65,Îles-de-la-Madeleine Airport,47.42470169067383,-61.778099060058594
66,Hudson Bay Airport,52.8166999817,-102.310997009
67,Dryden Regional Airport,49.831699,-92.744202
68,Ulukhaktok Holman Airport,70.76280212402344,-117.80599975585938
69,Gjoa Haven Airport,68.635597229,-95.84970092770001
70,John C. Munro Hamilton International Airport,43.173599243199995,-79.93499755859999
71,Montréal / Saint-Hubert Airport,45.5175018311,-73.4169006348
72,Hay River / Merlyn Carter Airport,60.8396987915,-115.782997131
73,Halifax / Stanfield International Airport,44.8807983398,-63.5085983276
74,Atikokan Municipal Airport,48.7738990784,-91.6386032104
75,Pond Inlet Airport,72.6832962036,-77.9666976929
76,St Jean Airport,45.29439926147461,-73.28109741210938
77,Stephenville Airport,48.5442008972168,-58.54999923706055
78,Kamloops Airport,50.7022018433,-120.444000244
79,Waterloo Airport,43.460800170899994,-80.3786010742
80,Schefferville Airport,54.805301666259766,-66.8052978515625
81,Kindersley Airport,51.5175018311,-109.180999756
82,Buttonville Municipal Airport,43.86220169067383,-79.37000274658203
83,Chapleau Airport,47.81999969482422,-83.3467025756836
84,Meadow Lake Airport,54.125301361083984,-108.52300262451172
85,Lloydminster Airport,53.309200286865234,-110.072998046875
86,Alert Airport,82.51779937740001,-62.2806015015
87,Kelowna International Airport,49.9561004639,-119.377998352
88,Mayo Airport,63.61640167236328,-135.8679962158203
89,Moose Jaw Air Vice Marshal C. M. McEwen Airport,50.330299377441406,-105.55899810791016
90,Fort McMurray Airport,56.653301239,-111.222000122
91,Moosonee Airport,51.291099548339844,-80.60780334472656
92,Maniwaki Airport,46.2728004456,-75.9906005859
93,Montreal International (Mirabel) Airport,45.679501,-74.038696
94,Natashquan Airport,50.189998626708984,-61.78919982910156
95,Ottawa / Gatineau Airport,45.521701812699995,-75.5635986328
96,Matagami Airport,49.76169967651367,-77.80280303955078
97,Old Crow Airport,67.57060241699219,-139.83900451660156
98,CFB Cold Lake,54.404998779296875,-110.27899932861328
99,High Level Airport,58.62139892578125,-117.16500091552734
100,Ottawa Macdonald-Cartier International Airport,45.3224983215332,-75.66919708251953
101,Prince Albert Glass Field,53.214199066199996,-105.672996521
102,Peace River Airport,56.226898,-117.446999
103,Southport Airport,49.903099,-98.273817
104,Pitt Meadows Airport,49.21609878540039,-122.70999908447266
105,Pickle Lake Airport,51.4463996887207,-90.21420288085938
106,Port Menier Airport,49.83639907836914,-64.2885971069336
107,Peterborough Airport,44.22999954223633,-78.36329650878906
108,Prince Rupert Airport,54.286098480199996,-130.445007324
109,Fort Chipewyan Airport,58.7672004699707,-111.11699676513672
110,Muskoka Airport,44.974700927734375,-79.30329895019531
111,Quebec Jean Lesage International Airport,46.7911,-71.393303
112,Red Deer Regional Airport,52.18220138549805,-113.89399719238281
113,Windsor Airport,42.27560043334961,-82.95559692382812
114,Watson Lake Airport,60.11640167236328,-128.82200622558594
115,Kenora Airport,49.788299560546875,-94.36309814453125
116,Lethbridge County Airport,49.6302986145,-112.800003052
117,Greater Moncton International Airport,46.11220169067383,-64.67859649658203
119,Comox Airport,49.71080017089844,-124.88700103759766
120,Regina International Airport,50.43190002441406,-104.66600036621094
121,Thunder Bay Airport,48.37189865112305,-89.32389831542969
122,Grande Prairie Airport,55.1796989441,-118.885002136
123,Yorkton Municipal Airport,51.26470184326172,-102.46199798583984
124,North Battleford Airport,52.76919937133789,-108.24400329589844
125,Gander International Airport,48.9369010925293,-54.56809997558594
126,Sydney / J.A. Douglas McCurdy Airport,46.1614,-60.047798
127,Quesnel Airport,53.026100158691406,-122.51000213623047
128,Resolute Bay Airport,74.7169036865,-94.9693984985
129,Rivière-du-Loup Airport,47.764400482177734,-69.58470153808594
130,Roberval Airport,48.52000045776367,-72.2656021118164
131,Rocky Mountain House Airport,52.4296989441,-114.903999329
132,Rankin Inlet Airport,62.8114013672,-92.1157989502
133,Sudbury Airport,46.625,-80.79889678955078
134,Sherbrooke Airport,45.4385986328125,-71.69139862060547
135,Saint John Airport,45.31610107421875,-65.89029693603516
136,Fort Smith Airport,60.020301818847656,-111.96199798583984
137,Nanisivik Airport,72.982201,-84.613602
138,Summerside Airport,46.44060134887695,-63.83359909057617
139,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,71.9938964844,-125.242996216
140,Cape Dorset Airport,64.2300033569,-76.5267028809
141,Thompson Airport,55.80110168457031,-97.86419677734375
142,CFB Trenton,44.118900299072266,-77.5280990600586
143,Timmins/Victor M. Power,48.569698333699996,-81.376701355
144,Billy Bishop Toronto City Centre Airport,43.627499,-79.396202
145,Tuktoyaktuk Airport,69.43329620361328,-133.0260009765625
146,Montreal / Pierre Elliott Trudeau International Airport,45.4706001282,-73.7407989502
147,Repulse Bay Airport,66.5214004517,-86.22470092770001
148,Hall Beach Airport,68.77610015869999,-81.2425
149,Rouyn Noranda Airport,48.20610046386719,-78.83560180664062
150,La Ronge Airport,55.151401519800004,-105.262001038
151,Vermilion Airport,53.355800628699996,-110.823997498
152,Qikiqtarjuaq Airport,67.5457992554,-64.03140258789999
153,Val-d'Or Airport,48.0532989502,-77.7827987671
154,Kuujjuaq Airport,58.096099853515625,-68.4269027709961
155,Norman Wells Airport,65.28160095214844,-126.7979965209961
156,Vancouver International Airport,49.193901062,-123.183998108
